c_Pnome_jogador,c_Unome_jogador,n_camisa,d_data_nascimento,c_posicao,c_nome_time
MURILO,CERQUEIRA,26,,ZAGUEIRO,Palmeiras
ESTÊVÃO,,41,,MEIO-CAMPO,Palmeiras
RICHARD,RÍOS,27,,MEIO-CAMPO,Palmeiras
BRUNO,GOMES,15,,ZAGUEIRO,Internacional
VITÃO,,44,,ZAGUEIRO,Internacional
DAVID,LUIZ,23,,ZAGUEIRO,Flamengo
ALLAN,,29,,MEIO-CAMPO,Flamengo
AGUSTÍN,ROSSI,1,,GOLEIRO,Flamengo
LUCAS,VILLALBA,25,,ZAGUEIRO,Cruzeiro
GONZALO,PLATA,45,,MEIO-CAMPO,Flamengo
ALEX,SILVA,26,,ZAGUEIRO,Flamengo
OTÁVIO,SANTOS,5,,MEIO-CAMPO,Atletico-MG
MAGNO,SILVA,2,,ZAGUEIRO,Atletico-GO
MARCOS,ANTÔNIO,20,,MEIO-CAMPO,Sao Paulo
FELIPE,VIZEU,9,,ATACANTE,Criciuma
JONATHAN,LEMOS,13,,ZAGUEIRO,Criciuma
JOÃO,VICTOR,38,,ZAGUEIRO,Vasco
GABRIEL,MENINO,25,,MEIO-CAMPO,Palmeiras
HUGO,,46,,MEIO-CAMPO,Corinthians
ANÍBAL,MORENO,5,,MEIO-CAMPO,Palmeiras
BRUNO,PACHECO,6,,ZAGUEIRO,Fortaleza
ZÉ,MARCOS,3,,ZAGUEIRO,Juventude
EMANUEL,BRÍTEZ,19,,ZAGUEIRO,Fortaleza
EDSON,CARIOCA,17,,MEIO-CAMPO,Juventude
RONALDO,SOUZA,96,,MEIO-CAMPO,Juventude
MACHADO,,36,,MEIO-CAMPO,Vitoria
TOMÁS,CUELLO,28,,MEIO-CAMPO,Athletico-PR
LUCAS,ARCANJO,1,,GOLEIRO,Vitoria
YEFERSON,SOTELDO,7,,MEIO-CAMPO,Gremio
MARTINELLI,,8,,MEIO-CAMPO,Fluminense
KAUÃ,ELIAS,19,,ATACANTE,Fluminense
JHON,ARIAS,21,,MEIO-CAMPO,Fluminense
MARTIN,BRAITHWAITE,22,,ATACANTE,Gremio
FÁBIO,MACIEL,1,,GOLEIRO,Fluminense
THIAGO,SANTOS,29,,ZAGUEIRO,Fluminense
FELIPE,MELO,30,,ZAGUEIRO,Fluminense
AGUSTÍN,ROGEL,18,,ZAGUEIRO,Internacional
THACIANO,,16,,ATACANTE,Bahia
MAICON,ROQUE,4,,ZAGUEIRO,Vasco
IGOR,CORONADO,77,,MEIO-CAMPO,Corinthians
CLAYSON,,25,,MEIO-CAMPO,Cuiaba
MARLLON,BORGES,4,,ZAGUEIRO,Cuiaba
THIAGO,MAIA,29,,MEIO-CAMPO,Internacional
EDUARDO,VARGAS,11,,MEIO-CAMPO,Atletico-MG
ALISSON,SANTANA,45,,MEIO-CAMPO,Atletico-MG
BASTOS,,15,,ZAGUEIRO,Botafogo-RJ
FABRIZIO,PERALTA,33,,MEIO-CAMPO,Cruzeiro
RAFAEL,SILVA,8,,ATACANTE,Cruzeiro
DEREK,,9,,ATACANTE,Atletico-GO
JANDERSON,,17,,ATACANTE,Atletico-GO
LUIZ,FELIPE,4,,ZAGUEIRO,Atletico-GO
LÉO,NALDI,5,,MEIO-CAMPO,Vitoria
ALERRANDRO,SOUZA,9,,ATACANTE,Vitoria
DAVI,GOES,88,,MEIO-CAMPO,Juventude
CARLOS,ALCARAZ,37,,MEIO-CAMPO,Flamengo
NENÊ,,10,,MEIO-CAMPO,Juventude
GIORGIAN,ARRASCAETA,14,,MEIO-CAMPO,Flamengo
LÉO,PEREIRA,4,,ZAGUEIRO,Flamengo
JUAN,LUCERO,9,,ATACANTE,Fortaleza
PEDRO,AUGUSTO,28,,MEIO-CAMPO,Fortaleza
KAIQUE,ROCHA,4,,ZAGUEIRO,Athletico-PR
SAMUEL,XAVIER,2,,ZAGUEIRO,Fluminense
JEAN,CARLOS,20,,MEIO-CAMPO,Juventude
RODRIGO,ELY,5,,ZAGUEIRO,Gremio
ÉVERTON,RIBEIRO,10,,MEIO-CAMPO,Bahia
LUCIANO,JUBA,46,,ZAGUEIRO,Bahia
ALLANO,,2,,MEIO-CAMPO,Criciuma
RAYLAN,,21,,MEIO-CAMPO,Cuiaba
YURI,ALBERTO,9,,ATACANTE,Corinthians
CACÁ,,25,,ZAGUEIRO,Corinthians
BRUNO,HENRIQUE,27,,MEIO-CAMPO,Flamengo
CAIO,MAIA,39,,ATACANTE,Atletico-MG
BRENO,LOPES,26,,ATACANTE,Fortaleza
TINGA,,2,,ZAGUEIRO,Fortaleza
WELINGTON,,6,,ZAGUEIRO,Sao Paulo
HULK,,7,,ATACANTE,Atletico-MG
FAUSTO,VERA,18,,MEIO-CAMPO,Atletico-MG
GILBERTO,JUNIOR,9,,ATACANTE,Juventude
LUCAS,FREITAS,43,,ZAGUEIRO,Juventude
MAXIME,DOMINGUEZ,26,,MEIO-CAMPO,Vasco
JOSEF,DIAS,5,,MEIO-CAMPO,Vasco
BRENO,BIDON,27,,MEIO-CAMPO,Corinthians
CLAYTON,SAMPAIO,20,,ZAGUEIRO,Internacional
RICARDO,MATHIAS,49,,ATACANTE,Internacional
CAIO,ALEXANDRE,19,,MEIO-CAMPO,Bahia
ADEMIR,,7,,ATACANTE,Bahia
SANTIAGO,ARIAS,13,,ZAGUEIRO,Bahia
NEUCIANO,GUSMÃO,40,,ZAGUEIRO,Bahia
ANDRÉ,SILVA,17,,ATACANTE,Sao Paulo
LUCAS,SILVA,18,,MEIO-CAMPO,Cuiaba
ROBERT,ARBOLEDA,5,,ZAGUEIRO,Sao Paulo
MATHEUS,SOUZA,2,,ZAGUEIRO,Cuiaba
DANILO,SILVA,5,,MEIO-CAMPO,Botafogo-RJ
MATHEUS,MARTINS,37,,ATACANTE,Botafogo-RJ
MADSON,,22,,ZAGUEIRO,Athletico-PR
LUCAS,FERRUGEM,4,,ZAGUEIRO,Bragantino
AGUSTÍN,GIAY,4,,ZAGUEIRO,Palmeiras
IVAN,CAVALEIRO,9,,ATACANTE,Bragantino
BRUNO,FUCHS,3,,ZAGUEIRO,Atletico-MG
JOÃO,SANTOS,18,,ZAGUEIRO,Gremio
FABIO,SILVA,2,,ZAGUEIRO,Gremio
MATHEUS,SOUZA,97,,MEIO-CAMPO,Cruzeiro
GABRIEL,FUENTES,31,,ZAGUEIRO,Fluminense
MANOEL,CARVALHO,26,,ZAGUEIRO,Fluminense
WALACE,,20,,MEIO-CAMPO,Cruzeiro
VICTOR,HUGO,20,,MEIO-CAMPO,Fluminense
MARCELO,JÚNIOR,12,,ZAGUEIRO,Fluminense
ALEJO,CRUZ,6,,ZAGUEIRO,Atletico-GO
PEDRO,RANGEL,1,,GOLEIRO,Atletico-GO
MATEO,GAMARRA,15,,ZAGUEIRO,Athletico-PR
GABRIEL,BARBOSA,99,,ATACANTE,Flamengo
ENNER,VALENCIA,13,,ATACANTE,Internacional
LEONARDO,PINHEIRO,3,,ZAGUEIRO,Vasco
EMERSON,RODRÍGUEZ,17,,MEIO-CAMPO,Vasco
ÁNGEL,ROMERO,11,,ATACANTE,Corinthians
CHARLES,MATOS,8,,MEIO-CAMPO,Corinthians
ALAN,FRANCO,28,,ZAGUEIRO,Sao Paulo
JONATHAN,CALLERI,9,,ATACANTE,Sao Paulo
PEDRO,KONZEN,16,,ATACANTE,Corinthians
RAFINHA,,13,,ZAGUEIRO,Sao Paulo
NAHUEL,FERRARESI,32,,ZAGUEIRO,Sao Paulo
ERICK,,33,,ATACANTE,Sao Paulo
RONALDO,,1,,GOLEIRO,Atletico-GO
DIOGO,BARBOSA,6,,ZAGUEIRO,Fluminense
JHON,,6,,MEIO-CAMPO,Bragantino
LUÍS,OYAMA,5,,MEIO-CAMPO,Juventude
DOUGLAS,MENDES,39,,ZAGUEIRO,Bragantino
FABRÍCIO,,37,,GOLEIRO,Bragantino
WALTER,KANNEMANN,4,,ZAGUEIRO,Gremio
ÍGOR,JESUS,99,,ATACANTE,Botafogo-RJ
MARLON,FREITAS,17,,MEIO-CAMPO,Botafogo-RJ
FABINHO,,35,,MEIO-CAMPO,Palmeiras
SERGIO,PALACIOS,13,,ZAGUEIRO,Bragantino
LUAN,CÂNDIDO,36,,ZAGUEIRO,Bragantino
MATHEUS,CARDOSO,17,,MEIO-CAMPO,Criciuma
RONALD,,6,,MEIO-CAMPO,Criciuma
WALISSON,,33,,ZAGUEIRO,Criciuma
GABRIEL,FRANCO,3,,MEIO-CAMPO,Athletico-PR
TOBIAS,FIGUEIREDO,29,,ZAGUEIRO,Criciuma
CARLINHOS,,22,,ATACANTE,Flamengo
WILLIAM,GOMES,39,,ATACANTE,Sao Paulo
RODRIGO,NESTOR,11,,MEIO-CAMPO,Sao Paulo
JOÃO,MARCELO,43,,ZAGUEIRO,Cruzeiro
WEVERTON,SILVA,21,,GOLEIRO,Palmeiras
ARTHUR,SOUSA,27,,ATACANTE,Bragantino
JOSÉ,WELISON,17,,MEIO-CAMPO,Fortaleza
DANILO,NEVES,6,,MEIO-CAMPO,Botafogo-RJ
JOEL,CAMPBELL,10,,MEIO-CAMPO,Atletico-GO
