data,hora,n_placar_visitante,n_placar_casa,c_nome_estadio,c_time_casa,c_time_visitante,n_rodada,d_ano_campeonato
2023-07-22,18:31,0,0,Itaipava Arena Fonte Nova,Bahia,Corinthians,16,2023
2023-07-22,21:00,0,1,Arena do Grêmio,Gremio,Atletico-MG,16,2023
2023-07-23,16:00,0,0,Nabizão,Bragantino,Internacional,16,2023
2023-07-23,16:00,1,0,Estádio Raimundo Sampaio,Cruzeiro,Goias,16,2023
2023-07-23,16:02,2,2,Estádio Urbano Caldeira,Santos,Botafogo-RJ,16,2023
2023-07-23,18:30,2,0,Estádio São Januário,Vasco,Athletico-PR,16,2023
2023-07-24,19:01,0,2,Couto Pereira,Coritiba,Fluminense,16,2023
2023-07-29,16:00,0,1,Maracanã,Fluminense,Santos,17,2023
2023-07-29,16:00,3,3,Ligga Arena,Athletico-PR,Cruzeiro,17,2023
2023-07-29,16:00,2,1,Estádio Beira-Rio,Internacional,Cuiaba,17,2023
2023-07-29,18:30,3,0,Arena Castelão,Fortaleza,Bragantino,17,2023
2023-07-29,18:33,1,3,Neo Química Arena,Corinthians,Vasco,17,2023
2023-07-29,21:00,2,1,Estádio Raimundo Sampaio,Atletico-MG,Flamengo,17,2023
2023-07-30,11:02,0,0,Morumbi,Sao Paulo,Bahia,17,2023
2023-07-30,16:00,4,1,Estádio Raimundo Sampaio,America-MG,Palmeiras,17,2023
2023-07-30,16:00,1,4,Estádio Nilton Santos,Botafogo-RJ,Coritiba,17,2023
2023-07-30,18:29,1,1,Estádio Hailé Pinheiro - Serrinha,Goias,Gremio,17,2023
2023-08-05,16:00,1,1,Estádio Urbano Caldeira,Santos,Athletico-PR,18,2023
2023-08-05,18:32,0,1,Estádio Hailé Pinheiro - Serrinha,Goias,Fortaleza,18,2023
2023-08-05,18:32,2,2,Estádio Beira-Rio,Internacional,Corinthians,18,2023
2023-08-05,21:00,1,2,Maracanã,Fluminense,Palmeiras,18,2023
2023-08-06,16:00,0,1,Estádio São Januário,Vasco,Gremio,18,2023
2023-08-06,16:02,2,0,Morumbi,Sao Paulo,Atletico-MG,18,2023
2023-08-06,18:30,1,0,Couto Pereira,Coritiba,Bragantino,18,2023
2023-08-06,18:30,0,0,Mineirão,Cruzeiro,Botafogo-RJ,18,2023
2023-08-06,18:31,1,3,Itaipava Arena Fonte Nova,Bahia,America-MG,18,2023
2023-08-06,20:00,0,3,Arena Pantanal,Cuiaba,Flamengo,18,2023
2023-08-12,21:01,1,3,Estádio Nilton Santos,Botafogo-RJ,Internacional,19,2023
